key	ko	en	ja	ru	fr	zh-hant	es	de	th	id	vi	pt
npc103.menu.1	광고 제거	Remove Ads	広告除去		Supprimer les pubs	去除廣告	Quitar Anuncios	Anzeigen entfernen	ลบโฆษณา	Hapus Iklan	Loại bỏ Q.Cáo	Remover Anúncios
common.evo	각성	Evolve	覚醒		Évoluer	覺醒	Evolucionar	Entwickeln	วิวัฒน์	Evolusi	Tiến hóa	Evoluir
common.party.card	기억 카드	Memory Card	記憶カード		Carte mémoire	記憶卡	Tarjeta de memoria	Speicherkarte	เมโมรี่การ์ด	Kartu Memori	Thẻ Ký ức	Cartão de Memória
common.party.card.hero	{0}의 기억 카드	{0}'s Memory Card	{0}の記憶カード		Carte mémoire de {0}	{0}的記憶卡	Tarjeta de memoria de {0}	{0}s Speicherkarte	การ์ดความทรงจำของ {0}	Kartu Memori {0}	Thẻ Ký ức của {0}	Cartão de Memória do(a) {0}
common.news	뉴스	News	ニュース		Infos	消息	Noticias	Nachrichten	ข่าว	Kabar	Tin tức	Novidades
common.goods	굿즈	Goods	グッズ		Objets	周邊	Bienes	Waren	สินค้า	Barang	Hàng hóa	Pertences
												
												
common.statistics	통계	Statistics	統計	Статистика	Statistiques	統計數據	Estadísticas	Statistiken	สถิติ	Statistik	Số liệu thống kê	Estatísticas
world.story	스토리 모드	Story Mode										
world.party	파티 모드	Party Mode										
